날짜 및 시간 : 2025-07-16 11:57:42, 내부 온도 : 18, 외부 온도 : 15, 내부 습도 : 57, 외부 광량 : 714, 내부 CO2농도 : 0.040, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 11:57:42, 내부 온도 : 21, 외부 온도 : 18, 내부 습도 : 53, 외부 광량 : 555, 내부 CO2농도 : 0.032, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 11:57:55, 내부 온도 : 21, 외부 온도 : 3, 내부 습도 : 55, 외부 광량 : 701, 내부 CO2농도 : 0.064, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 11:57:55, 내부 온도 : 27, 외부 온도 : 21, 내부 습도 : 52, 외부 광량 : 694, 내부 CO2농도 : 0.032, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 12:02:37, 내부 온도 : 27, 외부 온도 : 4, 내부 습도 : 57, 외부 광량 : 689, 내부 CO2농도 : 0.028, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 12:02:45, 내부 온도 : 26, 외부 온도 : 5, 내부 습도 : 52, 외부 광량 : 698, 내부 CO2농도 : 0.038, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 12:03:02, 내부 온도 : 25, 외부 온도 : 9, 내부 습도 : 50, 외부 광량 : 676, 내부 CO2농도 : 0.032, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 12:03:02, 내부 온도 : 28, 외부 온도 : 13, 내부 습도 : 59, 외부 광량 : 689, 내부 CO2농도 : 0.068, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 12:05:54, 내부 온도 : 25, 외부 온도 : 19, 내부 습도 : 51, 외부 광량 : 599, 내부 CO2농도 : 0.036, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 12:06:09, 내부 온도 : 20, 외부 온도 : 21, 내부 습도 : 54, 외부 광량 : 614, 내부 CO2농도 : 0.096, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 12:06:09, 내부 온도 : 29, 외부 온도 : 5, 내부 습도 : 60, 외부 광량 : 561, 내부 CO2농도 : 0.096, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 12:08:23, 내부 온도 : 18, 외부 온도 : 17, 내부 습도 : 52, 외부 광량 : 548, 내부 CO2농도 : 0.099, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 12:08:34, 내부 온도 : 29, 외부 온도 : 15, 내부 습도 : 60, 외부 광량 : 540, 내부 CO2농도 : 0.064, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 12:08:34, 내부 온도 : 22, 외부 온도 : 7, 내부 습도 : 54, 외부 광량 : 585, 내부 CO2농도 : 0.081, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 12:10:06, 내부 온도 : 21, 외부 온도 : 14, 내부 습도 : 51, 외부 광량 : 590, 내부 CO2농도 : 0.087, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 12:10:06, 내부 온도 : 19, 외부 온도 : 15, 내부 습도 : 59, 외부 광량 : 654, 내부 CO2농도 : 0.073, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 12:10:18, 내부 온도 : 18, 외부 온도 : 0, 내부 습도 : 52, 외부 광량 : 527, 내부 CO2농도 : 0.049, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 12:14:54, 내부 온도 : 30, 외부 온도 : 4, 내부 습도 : 60, 외부 광량 : 683, 내부 CO2농도 : 0.088, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 12:14:54, 내부 온도 : 27, 외부 온도 : 3, 내부 습도 : 53, 외부 광량 : 612, 내부 CO2농도 : 0.083, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 12:33:16, 내부 온도 : 23, 외부 온도 : 1, 내부 습도 : 51, 외부 광량 : 560, 내부 CO2농도 : 0.062, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 12:33:16, 내부 온도 : 30, 외부 온도 : 18, 내부 습도 : 57, 외부 광량 : 592, 내부 CO2농도 : 0.035, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 12:35:02, 내부 온도 : 18, 외부 온도 : 1, 내부 습도 : 52, 외부 광량 : 607, 내부 CO2농도 : 0.084, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 12:35:51, 내부 온도 : 21, 외부 온도 : 2, 내부 습도 : 56, 외부 광량 : 668, 내부 CO2농도 : 0.040, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 12:35:51, 내부 온도 : 21, 외부 온도 : 3, 내부 습도 : 58, 외부 광량 : 551, 내부 CO2농도 : 0.089, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 12:35:56, 내부 온도 : 27, 외부 온도 : 2, 내부 습도 : 56, 외부 광량 : 577, 내부 CO2농도 : 0.050, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 12:36:23, 내부 온도 : 19, 외부 온도 : 19, 내부 습도 : 54, 외부 광량 : 650, 내부 CO2농도 : 0.046, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 12:36:23, 내부 온도 : 19, 외부 온도 : 12, 내부 습도 : 55, 외부 광량 : 566, 내부 CO2농도 : 0.089, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 12:51:38, 내부 온도 : 26, 외부 온도 : 8, 내부 습도 : 51, 외부 광량 : 661, 내부 CO2농도 : 0.055, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 12:51:43, 내부 온도 : 22, 외부 온도 : 16, 내부 습도 : 51, 외부 광량 : 708, 내부 CO2농도 : 0.098, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 12:59:55, 내부 온도 : 29, 외부 온도 : 13, 내부 습도 : 51, 외부 광량 : 673, 내부 CO2농도 : 0.062, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 12:59:55, 내부 온도 : 25, 외부 온도 : 14, 내부 습도 : 57, 외부 광량 : 536, 내부 CO2농도 : 0.036, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:00:00, 내부 온도 : 25, 외부 온도 : 20, 내부 습도 : 56, 외부 광량 : 715, 내부 CO2농도 : 0.032, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:00:05, 내부 온도 : 27, 외부 온도 : 2, 내부 습도 : 50, 외부 광량 : 546, 내부 CO2농도 : 0.068, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:00:10, 내부 온도 : 28, 외부 온도 : 12, 내부 습도 : 59, 외부 광량 : 622, 내부 CO2농도 : 0.023, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:00:15, 내부 온도 : 27, 외부 온도 : 10, 내부 습도 : 53, 외부 광량 : 704, 내부 CO2농도 : 0.068, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:00:20, 내부 온도 : 30, 외부 온도 : 11, 내부 습도 : 55, 외부 광량 : 521, 내부 CO2농도 : 0.034, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:00:25, 내부 온도 : 29, 외부 온도 : 0, 내부 습도 : 56, 외부 광량 : 523, 내부 CO2농도 : 0.033, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:00:30, 내부 온도 : 29, 외부 온도 : 0, 내부 습도 : 52, 외부 광량 : 518, 내부 CO2농도 : 0.038, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:00:35, 내부 온도 : 27, 외부 온도 : 1, 내부 습도 : 54, 외부 광량 : 505, 내부 CO2농도 : 0.047, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:00:40, 내부 온도 : 25, 외부 온도 : 9, 내부 습도 : 56, 외부 광량 : 506, 내부 CO2농도 : 0.023, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:00:45, 내부 온도 : 24, 외부 온도 : 21, 내부 습도 : 57, 외부 광량 : 614, 내부 CO2농도 : 0.023, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:00:50, 내부 온도 : 27, 외부 온도 : 15, 내부 습도 : 50, 외부 광량 : 614, 내부 CO2농도 : 0.069, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:00:55, 내부 온도 : 21, 외부 온도 : 10, 내부 습도 : 50, 외부 광량 : 552, 내부 CO2농도 : 0.082, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:01:00, 내부 온도 : 29, 외부 온도 : 3, 내부 습도 : 55, 외부 광량 : 552, 내부 CO2농도 : 0.023, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:01:05, 내부 온도 : 22, 외부 온도 : 18, 내부 습도 : 59, 외부 광량 : 686, 내부 CO2농도 : 0.076, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:01:10, 내부 온도 : 27, 외부 온도 : 21, 내부 습도 : 56, 외부 광량 : 562, 내부 CO2농도 : 0.093, 내부 O2농도 : 4
날짜 및 시간 : 2025-07-16 13:01:15, 내부 온도 : 22, 외부 온도 : 14, 내부 습도 : 51, 외부 광량 : 602, 내부 CO2농도 : 0.094, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:01:20, 내부 온도 : 27, 외부 온도 : 14, 내부 습도 : 50, 외부 광량 : 713, 내부 CO2농도 : 0.054, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:01:25, 내부 온도 : 25, 외부 온도 : 5, 내부 습도 : 59, 외부 광량 : 610, 내부 CO2농도 : 0.097, 내부 O2농도 : 6
날짜 및 시간 : 2025-07-16 13:01:30, 내부 온도 : 20, 외부 온도 : 19, 내부 습도 : 50, 외부 광량 : 715, 내부 CO2농도 : 0.040, 내부 O2농도 : 7
날짜 및 시간 : 2025-07-16 13:01:35, 내부 온도 : 25, 외부 온도 : 16, 내부 습도 : 53, 외부 광량 : 683, 내부 CO2농도 : 0.055, 내부 O2농도 : 5
날짜 및 시간 : 2025-07-16 13:01:40, 내부 온도 : 18, 외부 온도 : 16, 내부 습도 : 59, 외부 광량 : 544, 내부 CO2농도 : 0.026, 내부 O2농도 : 4
